Model,MAE,MSE,RMSE,R2,Training Time,Prediction Time
Gradient Boosting Regressor,2555.57874130393,20649981.238167305,4544.225042641187,0.9544621916450514,3.6120106999997006,0.038581300000259944
ElasticNet Regression,2797.372409372045,20723114.012620647,4552.264712494281,0.9543009175872637,0.6778260000000955,0.019318800000291958
Ridge Regression,2813.139822722119,20759890.306145567,4556.302262377417,0.9542198176682261,0.04427109999960521,0.012120800000047893
Linear Regression,2814.758733735772,20765614.66191636,4556.930399064305,0.9542071941886674,0.14358090000041557,0.013464799999383104
Random Forest Regressor,2655.1118256109253,25307889.48160967,5030.69473150674,0.9441904664324023,3.9896545999999944,0.17903300000034506
Decision Tree Regressor,3145.3629220361645,36932360.01234737,6077.2000141798335,0.9185559195942639,0.20647619999999733,0.018032900000434893
